used_script_digital;used_script_physical;used_textbook;used_guideline;used_anki;used_custom_anki;used_moodle_quiz;used_moodle_task;used_other;elearning_inclination;helpful_script;helpful_video;helpful_streaming;helpful_contact_event;helpful_task;helpful_quiz;helpful_anki;helpful_anki_custom;helpful_all_equally;prefer_online;used_anki_general;helpful_anki_general;anki_usage;anki_used_in_semester;anki_used_for_exam;anki_used_special;anki_used_other;anki_on_pc;anki_on_laptop;anki_on_tablet;anki_on_mobile;not_used_no_time;not_used_not_interested;not_used_sufficient_material;not_used_long_installation;not_used_unaware;not_used_custom;not_used_other;anki_again;performance_general;performance_pharm;studying_style_unchanged;less_time_spent_studying;more_time_spent_studying;more_elearning;less_studying_with_fellows;more_studying_with_fellows;other_changes;gender;score_percentage;group;age;score
1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;;1;0;0;0;1;0;0;1;0.620689655;KS22;ZZ;18
1;0;0;1;0;0;1;0;0;2;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;2;1;0;1;0;0;1;0;0;2;0.551724138;KS22;ZZ;16
1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;1;0;0;0;1;0.655172414;KS22;ZZ;19
1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;2;0;1;0;0;1;0;0;1;0.689655172;KS22;ZZ;20
1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;1;0;1;0;2;0.827586207;KS22;ZZ;24
0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;1;0;0;0;1;0.620689655;KS22;ZS;18
1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;1;1;0;0;0;1;0.827586207;KS22;ZZ;24
1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;5;5;0;0;0;1;0;0;0;2;;KS22;Z6;
1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;1;0.586206897;KS22;ZZ;17
1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;4;1;0;0;0;0;0;0;1;0.75862069;KS22;ZZ;22
1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;1;0;0;0;2;0.586206897;KS22;ZZ;17
1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;1;0;0;0;0;0;0;2;0.689655172;KS22;ZZ;20
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;1;;KS22;Z4;
1;0;0;0;0;0;0;1;0;2;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;3;0;0;1;0;1;0;0;1;0.517241379;KS22;Z5;15
1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;1;1;0;0;2;0.724137931;KS22;ZZ;21
0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;1;;;0;1;;;;;;;;;;;;;;;;;;;;;;0;0;1;1;0;1;0;;;KS22;;
1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;;;0;1;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;2;0.827586207;KS22;ZZ;24
1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;;;0;;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;0;0;0;1;1;0.793103448;KS22;ZZ;23
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;2;0.724137931;KS22;ZZ;21
1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;1;0;0;0;2;0.965517241;KS22;ZZ;28
1;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;5;4;1;0;0;0;0;0;0;1;0.827586207;KS22;ZZ;24
1;0;0;0;0;0;0;1;0;2;1;0;0;1;0;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;1;0;0;0;0;0;1;0.793103448;KS22;ZZ;23
1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;1;0;0;0;0;2;0.896551724;KS22;ZZ;26
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;1;0.75862069;KS22;ZZ;22
1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;1;1;0;0;2;0.724137931;KS22;ZZ;21
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;4;0;0;0;0;0;1;0;1;0.862068966;KS22;ZZ;25
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KS22;;
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;1;1;0;0;0;2;0.862068966;KS22;ZZ;25
1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;0;1;0;0;1;0.517241379;KS22;Z6;15
1;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;1;1;1;0;0;1;0.793103448;KS22;ZZ;23
1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;1;0;0;1;0.620689655;KS22;ZZ;18
1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;;;1;2;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;1;0;0;0;2;0.793103448;KS22;ZZ;23
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;1;1;0.689655172;KS22;ZS;20
1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;4;0;1;0;0;1;0;0;2;0.620689655;KS22;ZO;18
1;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;4;0;1;0;0;1;0;0;2;0.551724138;KS22;Z8;16
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KS22;;
1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;2;0;1;0;0;0;0;0;1;0.586206897;KS22;ZZ;17
1;0;0;1;0;0;0;1;0;1;1;0;0;0;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;4;0;0;1;0;0;0;0;2;0.931034483;KS22;ZZ;27
1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;4;0;0;0;1;0;0;0;2;0.793103448;KS22;ZZ;23
1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;;;0;1;;;;;;;;;;;;;;;;;;;;3;;0;0;1;1;0;0;0;2;0.586206897;KS22;ZZ;17
1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;;;0;2;;;;;;;;;;;;;;;;;;;;2;3;0;0;0;0;0;1;0;1;0.862068966;KS22;Z7;25
1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;1;1;0;0;1;0.517241379;KS22;ZZ;15
0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;;;0;1;;;;;;;;;;;;;;;;;;;;2;2;0;0;1;0;0;0;0;2;0.75862069;KS22;28;22
1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;1;0;0;0;0;0;0;1;;KS22;ZZ;
1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;2;2;0;1;0;0;1;0;0;3;0.75862069;KS22;ZZ;22
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;3;0;1;0;0;0;0;0;2;0.75862069;KS22;Z4;22
1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;1;1;0;0;1;0.724137931;KS22;Z8;21
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;0;1;1;0;0;0;1;0.793103448;KS22;ZZ;23
1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;1;1;0;0;1;0.551724138;KS22;Z9;16
1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;1;1;0;1;0;0;1;0;0;2;0.586206897;KS22;29;17
1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;;;1;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;1;1;0;0;0;1;0.724137931;KS22;ZZ;21
1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;2;0.75862069;KS22;Z4;22
1;1;0;0;0;0;1;1;0;2;1;1;1;1;0;0;;;0;2;;;;;;;;;;;;;;;;;;;;2;2;0;1;0;0;1;0;0;2;0.75862069;KS22;ZZ;22
1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;4;0;0;1;1;0;0;0;1;0.862068966;KS22;Z5;25
1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;;;0;1;;;;;;;;;;;;;;;;;;;;5;3;0;0;1;1;0;0;0;2;0.827586207;KS22;ZZ;24
1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;1;0;0;2;0.724137931;KS22;ZZ;21
1;1;0;0;1;0;1;1;0;1;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;1;0.827586207;KS22;Z4;24
1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;1;0;1;1;0;0;2;0.689655172;KS22;ZZ;20
1;1;0;0;0;0;1;1;0;2;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;4;0;0;0;1;1;0;0;1;;KS22;Z6;
1;0;0;0;0;0;0;1;0;2;1;1;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;4;0;1;0;0;0;0;0;2;0.827586207;KS22;ZZ;24
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;0;1;0;0;2;0.620689655;KS22;ZZ;18
1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;1;0;2;0.793103448;KS22;ZZ;23
1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;;;0;1;;;;;;;;;;;;;;;;;;;;2;2;0;0;1;0;1;0;0;1;0.793103448;KS22;Z7;23
1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;0;0;1;1;0.586206897;KS22;Z4;17
0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;1;0;1;0;0;0;2;0.793103448;KS22;ZZ;23
1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;1;1;0;0;0;2;0.793103448;KS22;ZZ;23
1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;1;0;0;0;0;0;0;2;0.75862069;KS22;ZZ;22
1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;2;2;1;0;0;0;0;0;0;1;0.724137931;KS22;ZZ;21
1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;1;1;0;0;1;0.827586207;KS22;Z7;24
0;1;0;0;0;0;0;1;0;;1;1;0;0;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;2;1;1;0;0;0;0;0;0;1;0.793103448;KS22;ZY;23
1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;1;0;1;1;0;0;2;0.862068966;KS22;ZZ;25
0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;1;0;0;0;0;1;;KS22;ZZ;
1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;;;0;2;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;1;0;0;1;0.586206897;KS22;ZZ;17
0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;1;0.793103448;KS22;Z1;23
1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;;;0;;;;;;;;;;;;;;;;;;;;;2;1;0;0;1;1;1;0;0;1;0.517241379;KS22;ZS;15
0;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;;;0;1;;;;;;;;;;;;;;;;;;;;3;3;0;1;0;0;0;0;0;1;0.482758621;KS22;ZY;14
1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;1;0.75862069;KS22;ZZ;22
1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;;;0;;;;;;;;;;;;;;;;;;;;;3;3;0;0;1;1;0;0;0;1;0.689655172;KS22;ZO;20
0;1;0;0;1;0;1;1;0;1;1;1;0;1;1;1;;;0;;;;;;;;;;;;;;;;;;;;;4;5;0;0;0;1;1;0;0;1;0.931034483;KS22;ZZ;27
0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;0;1;0;0;2;0.862068966;KS22;ZZ;25
1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;1;0;1;0.75862069;KS22;ZZ;22
0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;1;0;0;0;1;1;0;0;1;0.724137931;KS22;ZZ;21
1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;2;;KS22;;
1;0;0;1;0;0;1;1;0;1;1;0;0;1;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;2;0.724137931;KS22;Z4;21
1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;;;0;;;;;;;;;;;;;;;;;;;;;3;3;0;1;0;1;0;0;0;1;0.724137931;KS22;22;21
0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;0;1;0;0;1;;KS22;ZZ;
1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;4;0;0;0;1;1;0;0;2;0.620689655;KS22;Z4;18
1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;1;1;0;0;1;0.689655172;KS22;ZZ;20
1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;1;0.724137931;KS22;ZZ;21
1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;1;1;0;0;0;1;0.793103448;KS22;ZZ;23
1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;1;0;1;0;0;2;0.586206897;KS22;Z7;17
1;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.689655172;KS22;;20
1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;;;0;2;;;;;;;;;;;;;;;;;;;;4;3;0;0;0;1;0;0;0;1;0.896551724;KS22;ZZ;26
1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;4;0;0;0;1;1;0;0;1;0.931034483;KS22;ZZ;27
1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;1;0;0;2;0.620689655;KS22;ZI;18
1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;1;0;0;0;0;0;0;2;;KS22;ZZ;
1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;1;0.586206897;KS22;ZZ;17
1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;3;0;0;1;0;0;0;0;2;0.724137931;KS22;Z6;21
1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;0;1;0;1;0;1;0.75862069;KS22;ZZ;22
1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.827586207;KS22;;24
1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;;;0;1;;;;;;;;;;;;;;;;;;;;3;2;0;0;1;1;1;0;0;2;0.931034483;KS22;ZO;27
1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;1;1;0;0;0;1;0.827586207;KS22;ZZ;24
1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;1;0;1;0;0;0;1;0.586206897;KS22;ZZ;17
1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;;;1;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;1;1;0;0;0;1;0.655172414;KS22;Z7;19
1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;1;1;0;0;0;2;0.896551724;KS22;Z8;26
1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;1;0.931034483;KS22;ZZ;27
1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;2;0;0;1;0;0;0;0;1;0.24137931;KS22;Z1;7
1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;3;0;0;1;0;0;0;0;1;0.75862069;KS22;Z4;22
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;2;2;1;0;0;0;0;0;0;2;0.724137931;KS22;24;21
1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;2;;KS22;ZS;
1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;;;0;3;;;;;;;;;;;;;;;;;;;;2;4;0;1;0;0;0;0;0;2;0.068965517;KS22;Z4;2
1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;2;2;1;0;0;0;0;0;0;1;0.689655172;KS22;ZZ;20
1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;1;0;0;0;2;0.75862069;KS22;ZZ;22
